anio,pais_id,pais_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2021,200,ARG,24,Delitos contra la seguridad de la nación,111,
2021,200,ARG,25,Delitos contra los poderes públicos y el orden constitucional,704,
2021,200,ARG,26,Delitos contra la administración pública,47966,
2021,200,ARG,27,Delitos contra la fe pública,10425,
2021,200,ARG,28_1,Siembra y producción de estupefacientes,1129,
2021,200,ARG,28_2,Comercialización y entrega de estupefacientes,5484,
2021,200,ARG,28_3,Tenencia o entrega atenuada de estupefacientes,880,
2021,200,ARG,28_4,Desvío de Importación de estupefacientes,10,
2021,200,ARG,28_5,Organización y financiación de estupefacientes,206,
2021,200,ARG,28_6,Tenencia simple de estupefacientes,8269,
2021,200,ARG,28_7,Tenencia simple atenuada para uso personal de estupefacientes,44208,
2021,200,ARG,28_8,Confabulación de estupefacientes,105,
2021,200,ARG,28_9,Contrabando de estupefacientes,623,
2021,200,ARG,28_10,Otros delitos previstos en la ley 23.737,10620,
2021,200,ARG,29_1,Ley de residuos peligrosos,54,
2021,200,ARG,29_2,Ley de fauna,1630,
2021,200,ARG,29_3,Delitos migratorios,3970,
2021,200,ARG,29_4,Obstrucción del código aduanero,261,
2021,200,ARG,29_5,Contrabando Simple,17057,
2021,200,ARG,29_6,Contrabando Agravado,183,
2021,200,ARG,29_7,Contrabando de elementos nucleares agresivos químicos armas y municiones,7,
2021,200,ARG,29_8,Otros delitos previstos en leyes especiales,106218,
2021,200,ARG,30,Contravenciones,88844,
2021,200,ARG,31,Suicidios (consumados),3649,3649
2021,200,ARG,32,Delitos contra el orden económico y financiero,672,
